ID;EMPRENDIMENTO;Bairro;Endereço;Nº da unidade;Área Privativa (m2);N˚ Dorms.;Nº Suítes;N˚ Vagas;Ano Const.;Observações;Valor Condomínio;Valor IPTU;Valor de venda (R$);Valor M2 (R$ / m2);Link das Fotos sem marca d´água
601251299-40;Versailles;Vila Bastos - Santo André / SP;Adolfo Bastos, 320;62;176;3;3;3;1996;Maravilhoso apartamento na Vila Bastos - Santo André / SP;R$ 1.783,00;R$ 2.851,00;R$ 874.000,00;R$ 4.965,91;https://drive.google.com/drive/folders/1FSLOX4pfm4q29cFGLdXfIgIhes6u1EbK
601181054-114;Centro Médico Peixoto Gomide;Jardim Paulista ;Peixoto Gomide, 515;sala 161 a 166;330;7;7;18;1980;Maravilhosa laje corporativa no Jardim Paulista ;R$ 6.450,00;R$ 65.759,00;R$ 5.940.000,00;R$ 18.000,00;https://drive.google.com/drive/folders/1KYteeHC-DEbEdOaaQAEq4eXZTcU6r29D
601251154-5;Next Sky;Parque Arariba;Carlos Leite dos Santos, 300;68 A;41;1;0;1;2020;Lindo apartamento no Parque Arariba;R$ 684,00;R$ 0,00;R$ 275.000,00;R$ 6.707,32;https://drive.google.com/drive/folders/1vD52Vh9BrfoT8EwakmsTgXz3WqYo9ReK
602011013-29;Casa;Brooklin Paulista;Tomé Portes, 94;x;160;3;0;3;;Maravilhosa casa no Brooklin Paulista ;R$ 0,00;R$ 6.327,00;R$ 1.190.000,00;R$ 7.437,50;https://drive.google.com/drive/folders/1iVd_3RNGWW-zAGvibTGZsyhSM_jvFuk1
601251072-116;Itamaracá;Campo Belo;Nhu-Guaçu, 241;63;98;3;1;2;1979;Maravilhoso apartamento no Campo Belo;R$ 1.842,00;R$ 2.137,00;R$ 879.000,00;R$ 8.969,39;https://drive.google.com/drive/folders/1HaU-qAUL283ijux19YVDNI7Hx5z2M-St
601251165-196;Signature By Ott;Paraíso;Armando Ferrentini, 602;121;175;3;3;3;2024;Maravilhoso apartamento no Paraíso;R$ 2.871,00;R$ 12.986,00;R$ 2.695.000,00;R$ 15.400,00;https://drive.google.com/drive/folders/1dadpHt7lzDMLL6pio5wgM5T_Bzt4-pC1
601181054-140;Mansão Imperial ;Nova Petrópolis - São Bernardo do Campo/SP;Princesa Francisca Carolina, 300;54 B;242;3;3;3;2011;Maravilhoso apartamento em Nova Petrópolis - São Bernardo do Campo / SP;R$ 2.414,00;R$ 6.529,00;R$ 2.740.000,00;R$ 11.322,31;https://drive.google.com/drive/folders/1ajBbDO5EnCF0vRDVu12WAtHTSam4G3DG
601181054-116;Mobi One Pinheiros;Pinheiros;Alves Guimarães, 120;607;31;1;1;0;2021;Lindo apartamento em Pinheiros;R$ 550,00;R$ 2.000,00;R$ 748.000,00;R$ 24.129,03;https://drive.google.com/drive/folders/1klHU9PrWccfPyae4L_3GCGulTMOf9cXs
602011001-114;Sobrado;Vila Clementino ;Luís Mazzarolo, 181;x;241;3;3;2;2006;Maravilhoso sobrado na Vila Clementino ;R$ 0,00;R$ 1.120,00;R$ 1.990.000,00;R$ 8.257,26;https://drive.google.com/drive/folders/1y1p1LvkGg-pBFVH8nY6nB-HMVAQ_2sff
601251165-141;Marquês de Olinda ;Ipiranga ;Marquês de Olinda, 528;43/44;166;4;1;6;1982;Maravilhoso apartamento no Ipiranga ;R$ 2.284,00;R$ 3.110,00;R$ 1.150.000,00;R$ 6.927,71;https://drive.google.com/drive/folders/1SZWqXWZbrZfLNsNdL5pFlcJo5iK4LV_D
